month,class,geometry
Jan,background,"c(-68.6396428759852, 43.2396774454574)"
Jan,background,"c(-68.8041704244955, 41.429874411844)"
Jan,background,"c(-69.7913357155573, 42.5815672514161)"
Jan,background,"c(-68.0637964561991, 42.1702483801404)"
Jan,background,"c(-72.5060402659773, 39.8668627009962)"
Jan,background,"c(-71.27208365215, 40.7717642178028)"
Jan,background,"c(-67.0766311651373, 42.3347759286507)"
Jan,background,"c(-68.9686979730058, 42.4170397029058)"
Jan,background,"c(-68.8041704244955, 41.6766657346095)"
Jan,background,"c(-72.5060402659773, 40.0313902495065)"
Jan,background,"c(-68.3928515532197, 40.7717642178028)"
Jan,background,"c(-72.5883040402324, 40.1136540237616)"
Jan,background,"c(-67.2411587136476, 44.3913702850295)"
Jan,background,"c(-70.0381270383227, 42.499303477161)"
Jan,background,"c(-69.0509617472609, 42.7460947999264)"
Jan,background,"c(-70.1203908125779, 42.5815672514161)"
Jan,background,"c(-68.4751153274749, 41.7589295088646)"
Jan,background,"c(-67.8170051334337, 43.1574136712022)"
Jan,background,"c(-69.626808167047, 43.0751498969471)"
Jan,background,"c(-69.9558632640676, 43.0751498969471)"
Jan,background,"c(-68.3105877789646, 41.8411932831198)"
Jan,background,"c(-73.1641504600185, 40.5249728950374)"
Jan,background,"c(-72.2592489432118, 39.4555438297204)"
Jan,background,"c(-68.7219066502403, 42.499303477161)"
Jan,background,"c(-68.3928515532197, 42.5815672514161)"
Jan,background,"c(-72.341512717467, 39.2910162812101)"
Jan,background,"c(-72.917359137253, 39.0442249584447)"
Jan,background,"c(-69.2977530700264, 42.9928861226919)"
Jan,background,"c(-69.7090719413021, 41.5121381860992)"
Jan,background,"c(-69.1332255215161, 42.5815672514161)"
Jan,background,"c(-69.1332255215161, 41.2653468633337)"
Jan,background,"c(-68.8864341987506, 42.5815672514161)"
Jan,background,"c(-69.8735994898124, 41.9234570573749)"
Jan,background,"c(-69.1332255215161, 41.3476106375889)"
Jan,background,"c(-68.3105877789646, 42.4170397029058)"
Jan,background,"c(-68.3928515532197, 42.4170397029058)"
Jan,background,"c(-67.5702138106682, 43.9800514137537)"
Jan,background,"c(-68.3105877789646, 43.7332600909883)"
Jan,background,"c(-69.2154892957712, 42.7460947999264)"
Jan,background,"c(-68.9686979730058, 42.0057208316301)"
Jan,background,"c(-70.6962372323639, 40.6895004435477)"
Jan,background,"c(-68.8864341987506, 41.5121381860992)"
Jan,background,"c(-69.626808167047, 43.4864687682228)"
Jan,background,"c(-72.0947213947015, 40.1959177980168)"
Jan,background,"c(-71.0252923293846, 41.0185555405683)"
